ISO_YEAR,ISO_WEEK,ISO_WEEKSTARTDATE,region,location,admin1,latitude,longitude,daily_records,unique_daily_dates,mean_temperature_available_days,min_temperature_available_days,max_temperature_available_days,weekly_mean_temperature,weekly_min_temperature,weekly_max_temperature,complete_week
1996,41,1996-10-07,Kyushu,Fukuoka,Fukuoka,33.6,130.41667,7,7,7,7,7,17.771428571428572,12.5,24.4,True
1996,41,1996-10-07,Chugoku,Hiroshima,Hiroshima,34.4,132.45,7,7,7,7,7,17.3,10.5,23.6,True
1996,41,1996-10-07,Chubu,Nagoya,Aichi,35.18147,136.9064,7,7,7,7,7,17.357142857142858,10.6,24.3,True
1996,41,1996-10-07,Subtropical South,Naha,Okinawa,26.213,127.67851,7,7,7,7,7,25.099999999999998,22.0,26.6,True
1996,41,1996-10-07,Japan Sea / Hokuriku,Niigata,Niigata,37.92259,139.04124,7,7,7,7,7,16.142857142857142,10.0,22.2,True
1996,41,1996-10-07,Kansai,Osaka,Osaka,34.69379,135.50107,7,7,7,7,7,17.728571428571428,11.8,25.2,True
1996,41,1996-10-07,Hokkaido,Sapporo,Hokkaido,43.06667,141.35,7,7,7,7,7,11.828571428571427,6.2,16.9,True
1996,41,1996-10-07,Tohoku,Sendai,Miyagi,38.26667,140.86667,7,7,7,7,7,14.842857142857143,8.4,21.6,True
1996,41,1996-10-07,Shikoku,Takamatsu,Kagawa,34.33333,134.05,7,7,7,7,7,18.714285714285715,14.1,25.0,True
1996,41,1996-10-07,Kanto,Tokyo,Tokyo,35.6895,139.69171,7,7,7,7,7,17.185714285714287,13.5,25.6,True
1996,42,1996-10-14,Kyushu,Fukuoka,Fukuoka,33.6,130.41667,7,7,7,7,7,17.37142857142857,11.1,22.3,True
1996,42,1996-10-14,Chugoku,Hiroshima,Hiroshima,34.4,132.45,7,7,7,7,7,16.014285714285712,8.8,22.6,True
1996,42,1996-10-14,Chubu,Nagoya,Aichi,35.18147,136.9064,7,7,7,7,7,14.671428571428573,6.3,22.0,True
1996,42,1996-10-14,Subtropical South,Naha,Okinawa,26.213,127.67851,7,7,7,7,7,24.214285714285715,22.7,26.4,True
1996,42,1996-10-14,Japan Sea / Hokuriku,Niigata,Niigata,37.92259,139.04124,7,7,7,7,7,14.142857142857142,9.9,19.5,True
1996,42,1996-10-14,Kansai,Osaka,Osaka,34.69379,135.50107,7,7,7,7,7,15.900000000000002,9.2,21.2,True
1996,42,1996-10-14,Hokkaido,Sapporo,Hokkaido,43.06667,141.35,7,7,7,7,7,9.271428571428572,5.4,16.8,True
1996,42,1996-10-14,Tohoku,Sendai,Miyagi,38.26667,140.86667,7,7,7,7,7,13.6,7.4,19.6,True
1996,42,1996-10-14,Shikoku,Takamatsu,Kagawa,34.33333,134.05,7,7,7,7,7,17.12857142857143,12.7,21.3,True
1996,42,1996-10-14,Kanto,Tokyo,Tokyo,35.6895,139.69171,7,7,7,7,7,15.5,9.7,20.8,True
1996,43,1996-10-21,Kyushu,Fukuoka,Fukuoka,33.6,130.41667,7,7,7,7,7,16.82857142857143,8.6,24.9,True
1996,43,1996-10-21,Chugoku,Hiroshima,Hiroshima,34.4,132.45,7,7,7,7,7,15.22857142857143,6.4,23.6,True
1996,43,1996-10-21,Chubu,Nagoya,Aichi,35.18147,136.9064,7,7,7,7,7,13.614285714285714,4.9,22.9,True
