ISO_YEAR,ISO_WEEK,ISO_WEEKSTARTDATE,location_count,complete_location_count,national_proxy_complete,national_mean_temperature,national_min_temperature,national_max_temperature
1996,41,1996-10-07,10,10,True,17.397142857142857,11.96,23.54
1996,42,1996-10-14,10,10,True,15.781428571428572,10.32,21.25
1996,43,1996-10-21,10,10,True,14.844285714285714,7.93,22.22
1996,44,1996-10-28,10,10,True,15.942857142857141,9.16,22.77
1996,45,1996-11-04,10,10,True,14.412857142857144,7.33,20.47
1996,46,1996-11-11,10,10,True,10.325714285714286,4.76,17.77
1996,47,1996-11-18,10,10,True,10.108571428571429,5.12,16.05
1996,48,1996-11-25,10,10,True,8.17,1.56,15.51
1996,49,1996-12-02,10,10,True,6.055714285714286,0.6499999999999998,14.66
1996,50,1996-12-09,10,10,True,7.492857142857143,2.25,13.040000000000001
1996,51,1996-12-16,10,10,True,6.751428571428571,0.6399999999999999,14.75
1996,52,1996-12-23,10,10,True,6.162857142857144,1.0699999999999998,12.559999999999999
1997,1,1996-12-30,10,10,True,6.0285714285714285,0.39,14.459999999999999
1997,2,1997-01-06,10,10,True,3.132857142857143,-1.23,8.3
1997,3,1997-01-13,10,10,True,4.621428571428571,-0.5199999999999999,10.9
1997,4,1997-01-20,10,10,True,2.9699999999999998,-2.95,9.440000000000001
1997,5,1997-01-27,10,10,True,3.25,-0.9700000000000003,8.42
1997,6,1997-02-03,10,10,True,4.097142857142858,-1.1199999999999999,10.25
1997,7,1997-02-10,10,10,True,3.867142857142857,-1.67,10.870000000000001
1997,8,1997-02-17,10,10,True,3.172857142857143,-1.95,9.53
1997,9,1997-02-24,10,10,True,7.402857142857144,0.1399999999999999,15.25
1997,10,1997-03-03,10,10,True,7.395714285714286,0.54,16.14
1997,11,1997-03-10,10,10,True,8.33,2.05,15.39
1997,12,1997-03-17,10,10,True,7.5371428571428565,1.27,13.959999999999999
1997,13,1997-03-24,10,10,True,9.057142857142857,1.8699999999999999,16.61
1997,14,1997-03-31,10,10,True,11.404285714285715,3.5700000000000003,17.830000000000002
1997,15,1997-04-07,10,10,True,11.407142857142857,5.13,18.19
1997,16,1997-04-14,10,10,True,11.862857142857141,5.2,18.86
1997,17,1997-04-21,10,10,True,13.311428571428573,6.62,20.78
1997,18,1997-04-28,10,10,True,16.74857142857143,10.290000000000001,23.41
1997,19,1997-05-05,10,10,True,17.611428571428572,9.86,25.31
1997,20,1997-05-12,10,10,True,18.595714285714287,11.68,24.65
1997,21,1997-05-19,10,10,True,15.95142857142857,10.790000000000001,22.79
1997,22,1997-05-26,10,10,True,17.557142857142857,11.31,24.05
1997,23,1997-06-02,10,10,True,19.165714285714284,13.790000000000001,24.630000000000003
1997,24,1997-06-09,10,10,True,19.99142857142857,14.969999999999999,25.41
1997,25,1997-06-16,10,10,True,21.234285714285715,16.35,27.1
1997,26,1997-06-23,10,10,True,23.05857142857143,18.119999999999997,28.4
1997,27,1997-06-30,10,10,True,24.228571428571428,17.56,29.410000000000004
1997,28,1997-07-07,10,10,True,23.47,20.52,28.54
1997,29,1997-07-14,10,10,True,23.942857142857143,18.19,29.23
1997,30,1997-07-21,10,10,True,24.857142857142858,20.44,29.839999999999996
1997,31,1997-07-28,10,10,True,25.485714285714288,22.25,29.630000000000003
1997,32,1997-08-04,10,10,True,25.76,22.479999999999997,30.610000000000003
1997,33,1997-08-11,10,10,True,24.422857142857143,20.41,29.610000000000003
1997,34,1997-08-18,10,10,True,25.237142857142857,20.09,30.15
1997,35,1997-08-25,10,10,True,24.60285714285714,19.82,29.71
1997,36,1997-09-01,10,10,True,24.42142857142857,19.4,30.410000000000004
1997,37,1997-09-08,10,10,True,23.357142857142858,18.9,28.51
1997,38,1997-09-15,10,10,True,21.021428571428572,16.53,26.1
1997,39,1997-09-22,10,10,True,18.86714285714286,14.669999999999998,23.080000000000002
1997,40,1997-09-29,10,10,True,18.020000000000003,12.66,23.07
1997,41,1997-10-06,10,10,True,16.231428571428573,10.7,21.919999999999998
1997,42,1997-10-13,10,10,True,15.94857142857143,10.48,22.04
1997,43,1997-10-20,10,10,True,16.835714285714285,10.31,23.97
1997,44,1997-10-27,10,10,True,11.801428571428572,6.1,17.53
1997,45,1997-11-03,10,10,True,12.272857142857143,6.63,18.09
1997,46,1997-11-10,10,10,True,14.09,6.95,19.89
1997,47,1997-11-17,10,10,True,11.348571428571429,5.46,16.97
1997,48,1997-11-24,10,10,True,12.935714285714287,6.0,19.59
1997,49,1997-12-01,10,10,True,7.317142857142858,0.9800000000000001,15.319999999999999
1997,50,1997-12-08,10,10,True,6.6242857142857146,0.8399999999999999,14.52
1997,51,1997-12-15,10,10,True,8.642857142857142,3.0599999999999996,14.49
